;DENV46/1;DENV46/182;DENV73/1;DENV73/182
1;0.24874;0.37467;0.26718;0.37467
1;0.25113;0.27367;0.28551;0.27367
1;0.25684;0.23238;0.24953;0.23238
1;0.28983;0.27522;0.21196;0.27522
1;0.26530;0.21989;0.26857;0.21989
1;0.24016;0.31724;0.24320;0.31724
1;0.22334;0.29398;0.21757;0.29398
1;0.24283;0.41472;0.25500;0.41472
1;0.26758;0.39682;0.24215;0.39682
1;0.27005;0.44778;0.25056;0.44778
1;0.23169;0.23890;0.22644;0.23890
1;0.20374;0.23516;0.20470;0.23516
1;0.27667;0.42716;0.26576;0.42716
1;0.26060;0.33669;0.23960;0.33669
1;0.24788;0.31033;0.28799;0.31033
1;0.22686;0.27456;0.28778;0.27456
1;0.19942;0.32967;0.23407;0.32967
1;0.27196;0.30746;0.28882;0.30746
1;0.20516;0.21799;0.21750;0.21799
1;0.19541;0.44512;0.31644;0.44512
1;0.18542;0.20720;0.20064;0.20720
1;0.24563;0.28286;0.23492;0.28286
1;0.25957;0.28382;0.23703;0.28382
1;0.21591;0.32731;0.24680;0.32731
1;0.24183;0.21641;0.20733;0.21641
1;0.22212;0.36757;0.23766;0.36757
1;0.25792;0.30581;0.28452;0.30581
1;0.20280;0.27979;0.28883;0.27979
1;0.24139;0.30694;0.27772;0.30694
1;0.24649;0.39117;0.22245;0.39117
1;0.27612;0.40115;0.23510;0.40115
1;0.24615;0.39747;0.32028;0.39747
1;0.20897;0.43959;0.26494;0.43959
1;0.25091;0.29243;0.28509;0.29243
1;0.22980;0.38732;0.28351;0.38732
1;0.33940;0.63048;0.34321;0.63048
1;0.24769;0.42070;0.27684;0.42070
1;0.30380;0.32060;0.20853;0.32060
1;0.34897;0.32293;0.23096;0.32293
1;0.24169;0.31712;0.20891;0.31712
1;0.29217;0.30567;0.23266;0.30567
1;0.19892;0.30849;0.22431;0.30849
1;0.18794;0.25801;0.20823;0.25801
1;0.26650;0.27085;0.29900;0.27085
1;0.22070;0.26108;0.21352;0.26108
1;0.22814;0.28255;0.27443;0.28255
1;0.28292;0.33452;0.28429;0.33452
1;0.22449;0.40588;0.28420;0.40588
1;0.21802;0.47824;0.20693;0.47824
1;0.26537;0.23983;0.21345;0.23983
1;0.21994;0.33531;0.25432;0.33531
1;0.29683;0.26396;0.25142;0.26396
1;0.24703;0.42038;0.27743;0.42038
1;0.24601;0.26816;0.27293;0.26816
1;0.25157;0.48302;0.23414;0.48302
1;0.24460;0.23474;0.25677;0.23474
1;0.30977;0.32571;0.30056;0.32571
1;0.22642;0.27582;0.31500;0.27582
1;0.19562;0.30524;0.25935;0.30524
1;0.35510;0.46665;0.36701;0.46665
1;0.24729;0.52119;0.22376;0.52119
1;0.23230;0.31567;0.27504;0.31567
1;0.27435;0.50590;0.25648;0.50590
1;0.20975;0.43734;0.24319;0.43734
