;DENV46/1;DENV46/182;DENV73/1;DENV73/182
y18621;0.24074;0.43695;0.24515;0.43695
y18622;0.21367;0.28237;0.17341;0.28237
y18623;0.22260;0.42629;0.26509;0.42629
y18624;0.25365;0.43078;0.27669;0.43078
y18625;0.31624;0.47618;0.22058;0.47618
y18626;0.22981;0.49901;0.26402;0.49901
y18627;0.25279;0.27633;0.25756;0.27633
y18628;0.19388;0.38863;0.27204;0.38863
y18629;0.13973;0.15631;0.13209;0.15631
y18630;0.27804;0.32694;0.24467;0.32694
y18631;0.26233;0.41024;0.29963;0.41024
y18632;0.30699;0.37778;0.36461;0.37778
y18633;0.28689;0.43014;0.28703;0.43014
y18634;0.31142;0.38381;0.26168;0.38381
y18635;0.25506;0.32673;0.21259;0.32673
y18636;0.24400;0.24248;0.24746;0.24248
y18637;0.24359;0.35491;0.29836;0.35491
y18638;0.23815;0.26636;0.22862;0.26636
y18639;0.24807;0.30860;0.23708;0.30860
y18640;0.27386;0.30162;0.29607;0.30162
y18641;0.19108;0.26913;0.24081;0.26913
y18642;0.20862;0.35323;0.19131;0.35323
y18643;0.21680;0.25346;0.23327;0.25346
y18644;0.17328;0.18344;0.19401;0.18344
y18645;0.30215;0.38465;0.25507;0.38465
y18646;0.23952;0.32797;0.30258;0.32797
y18647;0.22786;0.28911;0.17597;0.28911
y18648;0.27597;0.47106;0.24877;0.47106
y18649;0.16774;0.19024;0.15902;0.19024
y18650;0.20765;0.34675;0.24780;0.34675
y18651;0.25778;0.46619;0.17571;0.46619
y18652;0.25539;0.34515;0.27630;0.34515
y18653;0.21349;0.31273;0.25670;0.31273
y18654;0.25322;0.26138;0.27334;0.26138
y18655;0.22945;0.24314;0.20958;0.24314
y18656;0.34626;0.41595;0.32722;0.41595
y18657;0.23613;0.26369;0.27962;0.26369
y18658;0.20996;0.39351;0.23199;0.39351
y18659;0.22235;0.30000;0.26558;0.30000
y18660;0.22928;0.43513;0.27546;0.43513
y18661;0.23236;0.22646;0.22169;0.22646
y18662;0.30233;0.36752;0.29255;0.36752
y18663;0.22274;0.31589;0.32685;0.31589
y18664;0.16778;0.20624;0.16227;0.20624
y18665;0.21603;0.34721;0.23234;0.34721
y18666;0.25786;0.39217;0.24168;0.39217
y18667;0.22464;0.29893;0.29349;0.29893
y18668;0.26755;0.39382;0.36718;0.39382
y18669;0.22813;0.28654;0.24569;0.28654
y18670;0.21776;0.26555;0.17194;0.26555
y18671;0.24983;0.31905;0.24141;0.31905
y18672;0.23414;0.37623;0.24574;0.37623
y18673;0.19978;0.20450;0.22486;0.20450
y18674;0.24769;0.30229;0.28489;0.30229
y18675;0.26725;0.23131;0.21845;0.23131
y18676;0.23681;0.35772;0.20691;0.35772
y18677;0.25478;0.26041;0.21220;0.26041
y18678;0.28772;0.33251;0.26132;0.33251
y18679;0.25092;0.48013;0.21328;0.48013
y18680;0.22601;0.44885;0.26197;0.44885
y18681;0.36711;0.44736;0.33367;0.44736
y18682;0.29300;0.43333;0.27700;0.43333
y18683;0.16786;0.19516;0.20594;0.19516
y18684;0.24665;0.42122;0.27038;0.42122
y18685;0.20479;0.33213;0.28732;0.33213
y18686;0.27756;0.55545;0.24919;0.55545
y18687;0.20983;0.27418;0.26283;0.27418
